Id,Fecha,Tweet,Usuario,Clasificación
432,6/15/2022,"el multimillonario elon musk dijo que votara por los republicamos ""por primera vez"" y que ron desantis, gobernador de florida, tiene ""mas posibilidades de ganar""",DLasAmericas,Neutro
457,6/15/2022,"elon musk siempre peca de optimismo. desde hace anos, jajajaja",alex_riveiro,Negativo
5,5/31/2022,esta es una prueba de tweet enviado de vuelta,alejandro,Neutro
42,6/13/2022,...a ver si la compra Elon Musk...,Chicken in self destruction mode,Neutro
44,6/13/2022,"BIEN Q LA TECNOÑOGÍA AVANCE PARA EL BIEN EN PANAMÁ, PERO QUISIERA Q SE HICIERAN EXPERIMENTOS CON CHIP CEREBRAL CON LAS RATAS DEL GOBIERNO Y NO CON PANAMEÑO DE A PIES.  Neuralink de Elon Musk alista chip cerebral para primeros ensayos clínicos en humanos",MUNDO SIN CENSURAS,Negativo
49,6/13/2022,: 7f90531d826547b582707cd8df26f90c,Test Account1,Neutro
50,6/13/2022,"Por desgracia, se llama genio solo al que se forra. Biza es un revolucionario, Elon Musk es un Da Vinci, Bezos es un visionario, etc. El resto de personas que hacen cosas increíbles y no tienen un duro, pues son unos mediocres.",Mujik Gorki,Positivo
54,6/13/2022,Menos mal que Elon Musk va a acabar con todos ellos,Leonor de Bourbon,Neutro
68,6/13/2022,Vamos a discutir que Elon Musk es desclasadoa,Bot Politica ARGENTINA,Negativo
72,6/13/2022,"suponiendo q estamos hablando de deseos ""reales"", tener la misma cantidad de dinero q elon musk",:sleepingface:,Positivo
76,6/13/2022,"Pues aquí seguimos, Elon Musk.",Ral Calbria,Neutro
81,6/13/2022,Que alguien le diga a Elon Musk que le cierre la cuenta de Twitter al  por favor.,Carnaval365,Positivo
86,6/13/2022,"Soy César Boada de nuevo y quiero hacerte otra pregunta de opinión: Si Elon Musk propietario de Twitter, te invitara al espacio tu lo aceptarias. Ademas de la lucha libre como se te vio con el Santo, que artista marcial admiras. Espero tus respuestas. Saludos.",Cesar Boada,Neutro
88,6/13/2022,"Por qué Elon Musk está obsesionado con los bots de Twitter, tan importantes son",ComputerHoy.com,Neutro
89,6/13/2022,"O comparemos a Elon Musk junto con un hombre musulmán que golpea a su esposa. Para nosotros, personas de moral occidental, el musulmán no tiene dignidad moral, y por ende ""valdría"" menos. Para sus líderes religiosos es un hombre respetable.",David Ghisays,Neutro
98,6/13/2022,Si a mi también me va decir que soy el único heredero de la FORTUNA de Elon Musk.,Marcelo MacCallum :thumbsup::UnitedStates::UnitedStates::UnitedStates::Norway::Finland:,Neutro
106,6/13/2022,No es oro todo lo que reluce y twitea elon musk,jose luis lopera,Negativo
150,6/15/2022,#Internacionales Elon Musk tendrá su primer encuentro con los trabajadores de Twitter:  .,Actualidad Laboral,Neutro
156,6/15/2022,DeSantis responde al apoyo de Elon Musk ante posible candidatura a la presidencia   EVNews RonDeSantis ElonMusk,El Venezolano,Neutro
158,6/15/2022,ELON MUSK SE EU TE PEGAR NO SOCO,yato  namoradinho do Nemi,Neutro
159,6/15/2022,ELON MUSK PRESIDENTA 2028,Juan P Matute R,Neutro
162,6/15/2022,""":bomb: Cuando algo es lo suficientemente importante, lo haces incluso cuando las posibilidades no están en tu favor.  Elon Musk (1971actualidad)""",Paperboys,Positivo
170,6/15/2022,"Las notas vespertinas ya están aquí. Léelas completas en  :globe_with_meridians:.  1. Controversial decisión de la Reserva Federal, subirá la tasa de interés 2. Elon Musk apoya a DeSantis  #noticiasvespertinas #RonDeSantis #ElonMusk #noticiasenespañol",La Prensa Orlando,Neutro
171,6/15/2022,El dueño de tu marca preferida no comenta en los tweets de sus fiebrus :rolling_on_the_floor_laughing: Elon Musk la ley,CJ Sepu,Neutro
184,6/15/2022,Elon Musk desea terminar con bots y cuentas infladas.  Pueden empezar analizando el #ChongTítereDeMorena que hasta con acento lo pusieron. Jajaja.,Aleks,Neutro
196,6/15/2022,"Con Elon Musk a la cabeza, la lista de las personas más ricas del mundo vivió un año volátil, coronado por un colapso mundial en el precio de las acciones.   Quiénes acompañan al dueño de Tesla en la lista  Descúbrelo en nuestra #EdiciónImpresa.  Ya en circulación",Forbes Ecuador,Neutro
197,6/15/2022,"""Simultáneamente se nos dice que las diferencias de género no existen y que los géneros son tan diferentes que la cirugía irreversible es la única opción. Quizás alguien más sabio que yo pueda explicar esta dicotomía."" Elon Musk",Jose Pedro Urraburu,Neutro
200,6/15/2022,eee piro soy amigo de elon musk,tucu,Positivo
203,6/15/2022,Elon Musk endorsed DeSantis.  :face_with_tears_of_joy::rolling_on_the_floor_laughing::face_with_tears_of_joy::rolling_on_the_floor_laughing::face_with_tears_of_joy::rolling_on_the_floor_laughing:,TACCOVP17,Negativo
244,6/15/2022,:bomb: elon musk abre el primer tunel subterraneo para aliviar el trafico en los angeles...,BIGThinkBIG_,Positivo
370,6/15/2022,"ya la gente no sabe quien es elon musk, y si acaso te dicen: ""el de los coches electricos esos"". como para que sepan que es sudafricano :joy::joy::joy::joy:",Javifiorentino4,Negativo
2,6/1/2022,Esta es otra prueba de cargar un tweet,alejandro,Neutro
21,3/3/2022,este es un nuevo texto de prueba,miusuario,Neutro
22,6/8/2022,Tienes que estar muy jodido intelectual mente y ser un estúpido para consumir e invertir en contenido progresista !  https://t.co/BHppKM1gJA,El Macho Biónico,Negativo
41,6/13/2022,No es oro todo lo que reluce y twitea elon musk https://t.co/wRBdr2ZXla,jose luis lopera,Negativo
43,6/13/2022,"Los ricos no tienen tiempo para la vagueria,.pregúntale a Elon Musk",Paúl,Positivo
45,6/13/2022,":mushroom: El CEO de   volvió a mostrarse a favor de los psicodélicos en Twitter. Esta vez, destacó el trabajo de , una empresa de biotecnología que se centra en el progreso de estos por vía terapéutica y mediante la ingeniería :lab_coat:.   :backhand_index_pointing_left:",El Planteo,Positivo
48,6/13/2022,Vamos ver o que acha Elon Musk,Will,Neutro
53,6/13/2022,"Aunque sea el q compré Twitter lo q vimos y sabemos no lo limpia nunca más, aunque diga era un juego nadie nunca jamás le creerá y será odiado forever dónde trabaje generará ruido y perjudicará a todos con sus antecedentes, la gente no es boluda   Elon Musk Salwe compra Twitter",Pablo Gomez,Negativo
63,6/13/2022,"ElHotelDeLosFamosos   Presentamos los bots deSalwe ya ni Elon Musk quiere comprar twitter, Salwe lleno de bots (cuentas falsas) la red Manipulación ja que imagen va a cambiar si vimosTodo   ElHotelDeLosFamosos  Salwe misógino xenófobo homofóbico lacra",José Ostorero,Neutro
65,6/13/2022,Suerte que twitter fue comprado por Elon Musk,leia,Neutro
66,6/13/2022,Jajajaja sus clientes. Tiene una tienda de barrio a la cual hace poco le agrego dos pollos para sumar más gente y se cree Elon Musk.,Maximo,Neutro
71,6/13/2022,Dogecoin ha caído más del 90 desde que Elon Musk lo promocionó en la televisión estadounidense,La Criptomoneda,Negativo
73,6/13/2022,"Mira vos, era amigo de Elon musk y no m había dado cuenta",Valentín,Neutro
77,6/13/2022,hola seguirme sobretodo el elon musk,Martí (simp de neo) :growingheart::tornado:,Neutro
84,6/13/2022,"Hey, Elon Musk no te olvides de nosotros simples mortales Haz tu llamado cuando sea el momento y dinos de alguna manera que eres tú realmente",Irma  Jiménez,Neutro
85,6/13/2022,"una batidora recargable con energía solar , la hizo elon musk",,Positivo
90,6/13/2022,"Evidentemente no entendés demasiado del mundo real. Bill gates es otro genio que ni siquiera terminó la universidad. No tenés idea de lo que hizo o no hizo Elon musk. Leé su historia en vez de pensar simplemente que es un ""millonario con suerte"".",Maximo Zapata,Negativo
91,6/13/2022,Elon Musk vai te contratar,Allan Campos :blueheart::redheart::Spain:,Positivo
92,6/13/2022,te falta la sandia para ser elon musk,LookingForSomething,Positivo
94,6/13/2022,"BIEN Q LA TECNOOGA AVANCE PARA EL BIEN EN PANAM, PERO QUISIERA Q SE HICIERAN EXPERIMENTOS CON CHIP CEREBRAL CON LAS RATAS DEL GOBIERNO Y NO CON PANAMEO DE A PIES.  Neuralink de Elon Musk alista chip cerebral para primeros ensayos clínicos en humanos",MUNDO SIN CENSURAS,Negativo
104,6/13/2022,"Nico, sos el único argentino que TENEMOS que ver junto a Elon Musk",Agustín Esposito,Positivo
108,6/13/2022,"Ningún exempleado de elon musk se le ocurriría escribir un libro sobre lo estricto que es como jefe, porque no sorprendería a nadie, sería como ""ya, y que esperas""",that nymph,Positivo
112,6/13/2022,Ni Elon Musk tiene esa tecnología,:whale:Angel Salinas:whale:(22 días:partypopper:),Neutro
373,6/15/2022,"que pesados os poneis con el game pass de los cojones y el plus premium, madre mia, si me dieran un euro cada vez que veo mediros la pollas con el tema seria competencia de elon musk.",RuymanJ,Neutro
387,6/15/2022,#internacionales elon musk tendra su primer encuentro con los trabajadores de twitter: .,ActualidadLabor,Neutro
388,6/15/2022,lo mas triste es que este mindundi se creera de verdad que elon musk va a utilizar su tiempo en leer a un subnormal diagnosticado hablar sobre la inmortalidad,putamxracas,Negativo
389,6/15/2022,"""elon musk: la civilizacion va camino de desmoronarse"" #japalpilpa",vilpetrus,Negativo
391,6/15/2022,"no0o00oo0oo0o0 que haces teniendo hijos, elon musk!?!? deberias estar usando tu dinero para hacerme inmortal!!1!",DarthWeeb66,Positivo
403,6/15/2022,"conoces a bill gates, a carlos slim, a elon musk ? pregunteles si ya no necesitan mas plata :person_shrugging::person_facepalming::woozy_face:",jgamez927,Negativo
411,6/15/2022,"#tesla elon musk esta considerando a estados unidos, canada y mexico como los paises donde podria construir una nueva fabrica de la compania de vehiculos electricos y autonomos tesla. #edntv #elonmusk #estadosunidos #canada #mexico #vehiculoselectricos",EDNTVHN,Positivo
508,6/15/2022,"desde que elon musk compro twitter, se puede decir cualquier cosas!",crigoit,Positivo
550,6/15/2022,elon musk presenta recurso para evitar que tesla investigue sus publicaciones en twitter :point_right:,AristeguiOnline,Neutro
609,6/15/2022,que es esto de superseguir? elon musk que hicistes?,tavoomartin,Negativo
639,6/15/2022,"no entra, elon musk maldito dejame editar tweets",amalia1148,Negativo
2844,6/15/2022,dios mio twitter me recomienda esto en serio no puedo esperar a que elon musk tome el control,leia39632525,Positivo
3291,6/15/2022,#EconomiayNegocios Elon Musk podría instalar una fábrica de Tesla en México https://t.co/tseWRpXV1E,ImagendeVer,Neutro
3301,6/15/2022,"Cuántos miles de millones de dólares perdieron Elon Musk, Jeff Bezos y Mark Zuckerberg  https://t.co/C1DL1hGazH",MegaDiarioRD,Neutro
3302,6/15/2022,"Elon Musk es un white supremacist porque votó a Mayra Flores, una mujer negra mexicana. Ya el Progresismo está en modo desesperación absoluta. https://t.co/vzLEWT8ylh",AgusRockstain,Positivo
2874,6/15/2022,presiosa mi embajadora,farabundou,Neutro
2879,6/15/2022,esooooooo dele con todo,carlosrchurulo,Positivo
2888,6/15/2022,spacex tiene via libre para realizar lanzamientos orbitales a marte,reportelatinoa,Neutro
2893,6/15/2022,spacex se acerca aun mas a marte tras recibir luz verde de la faa,uniondemorelos,Neutro
2898,6/15/2022,ya llevo apenas mas carga que un unico saturn v para poner en perspectiva lo bestial que era aquel bicho,guidodecaso,Neutro
3381,6/15/2022,El sueño húmedo de Elon Musk es que Amber Heard lo atropelle con un Tesla.,capitalino_azul,Neutro
3394,6/15/2022,"Fortunas bajo presión: Elon Musk, Jeff Bezos y Mark Zuckerberg pierden miles de millones de dólares https://t.co/TFysRLS29J https://t.co/cFdYSIoVY3",keloke_RD,Negativo
2921,6/15/2022,cuanto cobraria un bien cuidao por aparcar un cohete de spacex,ricardochial,Neutro
2922,6/15/2022,mision transporter 5 fotos oficiales de spacex,astraxolotlgirl,Neutro
3412,6/15/2022,Elon Musk mueve mercados,stivenvargas111,Positivo
3428,6/15/2022,"Se puede acusar a Elon Musk de muchas cosas, pero como vivió en público la crisis de la mediana edad más vergonzosa de la historia de la humanidad, no se compara con nada  skull  skull ",AndreaaCornejo,Negativo
2933,6/15/2022,tengo entendido que spacex ya cuenta con mas de 200 satelite en orbita,juan26377286,Positivo
3434,6/15/2022,"  No se sabe con certeza, se asume que es de Elon Musk. Tampoco se sabe si la hicieron de la manera tradicional (que no me extrañaria considerando q le ponían el gorro a Johnny) o si fue por fecundación in vitro.",selenegray_,Neutro
3439,6/15/2022,"SpaceX tendrá un prototipo funcional de su cohete Starship ""listo para volar:en julio, de acuerdo con Elon Musk, quien publicó en un tuit los planes de la compañía para llegar finalmente con su vehículo espacial a la órbita de la Tierra por primera vez.

https://t.co/H6EdeyJV4Y",proZesa_com,Positivo
3442,6/15/2022, Hi Elon Musk permitame el honor de servirle tengo una solución rápida y sencilla para hacer completamente los vehículos sin muchas modificaciones. Y generar mas Ganancias a la Empresa Tesla..por favor contacteme al correo principegerardo123.com,Gerardo61353411,Neutro
2961,6/14/2022,starlink de elon musk esta siendo muy efectiva en ucrania china atenta,carmuzo,Positivo
2964,6/14/2022,zelenski a elon estamos muy agradecidos por el apoyo de starlink,dusanvelez,Positivo
2974,6/14/2022,la proveedora de internet satelital starlink dara servicio en panama,tvporcable,Positivo
3012,6/12/2022,internet satelital de elon musk sigue al starlink logra superar los 3 000 abonados en chile,tvporcable,Neutro
3028,6/15/2022,"explicaselo a elon musk, la proxima vez que quiera dar un golpe de estado en bolivia para que le salga mas barato el litio.",JoanMartOrtega1,Neutro
456,6/15/2022,#enterate | como elon musk esta revolucionando un rincon en la frontera de eu y mexico,DiarioDeTabasco,Neutro
462,6/15/2022,has krisseado a elon musk el dia de la extincion humana te quedas fuera de la nave,porri_largo,Negativo
510,6/15/2022,:brain: :calling: elon musk! hazme tuyo!,F1MX3,Positivo
523,6/15/2022,una fila de luces se vera en el cielo y elon musk no tiene nada que ver: los detalles :face_with_monocle:,elsolonline,Negativo
3447,6/15/2022,"¿¿Vuelos de prueba de naves espaciales Starship serían en julio o agosto

El fundador de SpaceX, Elon Musk, anunció que la nave espacial Starship estará lista para una serie de vuelos de prueba orbitales a partir de julio. 

#LaVozDeVenezuelaEnQatar https://t.co/nSon9kshSB",kimberly_leidy,Positivo
3450,6/15/2022," Como es la Comisionada no se puede besar, ay por Dios. Mira si son changos! Y aquí en tweeter se ve cada cosa q yo espero Elon musk tumbe algunas cuentas",maribelmaldo,Positivo
2903,6/15/2022,spacex lanzara sistema de internet satelital starlink en panama te explicamos lo que esto significa,praxispty,Neutro
3471,6/15/2022,"El Xocas ya está ahí, ahi, rivalizando con Elon Musk por los TT en España https://t.co/vE2S2DwwWv",classora,Positivo
3473,6/15/2022," Es el:yo joven” el que hace algo x el mundo,cuántos años tenia Leonardo da Vinci cuando pintó el hombre de Vitruvio (38), Tesla invento el motor de inducción a los 32, Elon Musk fundó Xspace a los 30. Jamás han sido los mayores, son los jóvenes haciendo algo ahora, q de viejos..",vatevi1,Positivo
3474,6/15/2022,"Elon Musk contra los bots de Twitter, ¿una batalla perdida? https://t.co/zFFBLMWdgV",LaViejaPolaca,Neutro
2972,6/14/2022,elon y su madre pero nos va a salvar con su starlink de satelites para el qfs fake seguid sonando,antin0m11,Negativo
2985,6/13/2022,spacex empresa de elon musk lanzara proximamente sistema de internet satelital starlink en panama,burgosmg,Positivo
3477,6/15/2022,"Elon Musk se ""inclina:a votar por Ron DeSantis en unas elecciones presidenciales https://t.co/7ww8PMEQhh ",ContraPoder30,Neutro
3478,6/15/2022, Son los mismos que idolatran a Jeff Bezos y Elon Musk,axel_o_rama,Neutro
3480,6/15/2022," 
Por aquí backhand_index_pointing_right  están diciendo que el gigante inmobiliario chino Evergrande va a salir de la bolsa china mañana jueves , provocando una hecatombe.
Elon Musk ha coincidido en estas sombrías espectativas sobre las empresas inmobiliarias, después del desplome del bitcoin",fertccna,Neutro
3059,6/14/2022,¿cómo funciona starlink el internet satelital de elon musk y qué representaría su llegada a panamá,luis correa10,Neutro
3484,6/15/2022, Que orgullo la futura Elon Musk,cris_in,Positivo
